Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Hitting Position,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
PITCH (205),3092865,15000,R1,02-17-2019,3 Taylor Boling,R-Hand,8 Kelsey Bennett,R-Hand,,UPM,,Ball,1--0,0--0,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,304;77,PITCH
PITCH (206),3107882,12178,R1,02-17-2019,3 Taylor Boling,R-Hand,8 Kelsey Bennett,R-Hand,,LEFTM,,Ball,2--0,1--0,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,62;398,PITCH
PITCH (207),3120076,14985,R1,02-17-2019,3 Taylor Boling,R-Hand,8 Kelsey Bennett,R-Hand,,LL,,Foul,2--1,2--0,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,131;346,PITCH
PITCH (208),3135078,14998,R1,02-17-2019,3 Taylor Boling,R-Hand,8 Kelsey Bennett,R-Hand,,LEFTM,,Ball,3--1,2--1,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,76;271,PITCH
PITCH (209),3150093,14302,R1,02-17-2019,3 Taylor Boling,R-Hand,8 Kelsey Bennett,R-Hand,,MR,,Foul,3--2,3--1,,,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,,344;256,PITCH
PITCH (210),3164411,19177,R1,02-17-2019,3 Taylor Boling,R-Hand,8 Kelsey Bennett,R-Hand,,UPL,,Ball in Play,,3--2,SLCF,Fly Out,,,1 Out,,6. Inning,East Tennesse State,Virginia Tech,145;172,186;145,PITCH
PITCH (211),3183605,13534,R1,02-17-2019,3 Taylor Boling,R-Hand,2 Jayme Bailey,R-Hand,,LL,,Ball,1--0,0--0,,,,,2 Out,,6. Inning,East Tennesse State,Virginia Tech,,154;362,PITCH
PITCH (212),3197156,26420,R1,02-17-2019,3 Taylor Boling,R-Hand,2 Jayme Bailey,R-Hand,,ML,Catcher Throw Safe,Strike Called,1--1,1--0,,,,,2 Out,,6. Inning,East Tennesse State,Virginia Tech,,179;221,PITCH
PITCH (213),3223592,15000,R2,02-17-2019,3 Taylor Boling,R-Hand,2 Jayme Bailey,R-Hand,,DOWNM,,Ball,2--1,1--1,,,,,2 Out,,6. Inning,East Tennesse State,Virginia Tech,,392;446,PITCH
PITCH (214),3238609,16658,R2,02-17-2019,3 Taylor Boling,R-Hand,2 Jayme Bailey,R-Hand,,RIGHTM,,Ball,3--1,2--1,,,,,2 Out,,6. Inning,East Tennesse State,Virginia Tech,,410;140,PITCH
PITCH (215),3255284,14994,R2,02-17-2019,3 Taylor Boling,R-Hand,2 Jayme Bailey,R-Hand,,RIGHTM,,Ball,Walk,3--1,,,,,2 Out,,6. Inning,East Tennesse State,Virginia Tech,,439;263,PITCH
PITCH (216),3270294,14993,R12,02-17-2019,3 Taylor Boling,R-Hand,18 Mackenzie Lawter,R-Hand,,UPL,,Ball,1--0,0--0,,,,,2 Out,,6. Inning,East Tennesse State,Virginia Tech,,114;138,PITCH
PITCH (217),3285303,36984,R12,02-17-2019,3 Taylor Boling,R-Hand,18 Mackenzie Lawter,R-Hand,,MR,,Ball in Play,,1--0,3B2,Single,,,2 Out,,6. Inning,East Tennesse State,Virginia Tech,205;281,309;299,PITCH
PITCH (219),3322304,14999,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,20 Taylor Wright,R-Hand,,LEFTM,,Ball,1--0,0--0,,,,,0 Out,,6. Inning,Virginia Tech,East Tennesse State,,82;388,PITCH
PITCH (220),3337320,14994,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,20 Taylor Wright,R-Hand,,UPM,,Ball,2--0,1--0,,,,,0 Out,,6. Inning,Virginia Tech,East Tennesse State,,193;86,PITCH
PITCH (222),3352331,14994,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,20 Taylor Wright,R-Hand,,ML,,Ball in Play,,2--0,SCF1,Single,,,0 Out,,6. Inning,Virginia Tech,East Tennesse State,247;169,130;239,PITCH
PITCH (221),3367341,18988,R1,02-17-2019,25 Carrie Eberle,R-Hand,88 Malloree Schurr,R-Hand,,LL,,Ball in Play,,0--0,SS3,Fielders Choice,,,1 Out,,6. Inning,Virginia Tech,East Tennesse State,211;215,111;334,PITCH
PITCH (223),3386346,14986,R1,02-17-2019,25 Carrie Eberle,R-Hand,19 Tiffany Laughren,R-Hand,,LEFTM,,Ball,1--0,0--0,,,,,1 Out,,6. Inning,Virginia Tech,East Tennesse State,,49;193,PITCH
PITCH (224),3401348,14997,R1,02-17-2019,25 Carrie Eberle,R-Hand,19 Tiffany Laughren,R-Hand,,DOWNM,,Ball,2--0,1--0,,,,,1 Out,,6. Inning,Virginia Tech,East Tennesse State,,238;450,PITCH
PITCH (225),3416362,15172,R1,02-17-2019,25 Carrie Eberle,R-Hand,19 Tiffany Laughren,R-Hand,,MR,,Ball in Play,,2--0,SS3,Ground Out,,,1 Out,,6. Inning,Virginia Tech,East Tennesse State,204;222,378;276,PITCH
PITCH (226),3431551,14992,R2,02-17-2019,25 Carrie Eberle,R-Hand,22 Jordan Durbin,R-Hand,,LEFTM,,Ball,2--0,1--0,,,,,2 Out,,6. Inning,Virginia Tech,East Tennesse State,,35;197,PITCH
PITCH (227),3446560,14996,R2,02-17-2019,25 Carrie Eberle,R-Hand,22 Jordan Durbin,R-Hand,,DOWNM,,WP-PB,3--0,3--0,,,,,2 Out,,6. Inning,Virginia Tech,East Tennesse State,,416;446,PITCH
PITCH (228),3461573,14999,R3,02-17-2019,25 Carrie Eberle,R-Hand,22 Jordan Durbin,R-Hand,,LEFTM,,Ball,3--0,2--0,,,,,2 Out,,6. Inning,Virginia Tech,East Tennesse State,,85;288,PITCH
PITCH (229),3476589,14994,NO CHANGE,02-17-2019,25 Carrie Eberle,R-Hand,22 Jordan Durbin,R-Hand,,UPL,,Ball in Play,,3--0,,Ground Out,,,2 Out,,6. Inning,Virginia Tech,East Tennesse State,23;284,202;183,PITCH
PITCH (230),3491600,14999,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,9 Al Velazquez,L-Hand,,MR,,Ball in Play,,0--0,PF,Ground Out,,,0 Out,,7. Inning,East Tennesse State,Virginia Tech,245;258,370;286,PITCH
PITCH (231),3506616,14992,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,4 Darby Trull,L-Hand,,MR,,Foul,0--1,0--0,,,,,1 Out,,7. Inning,East Tennesse State,Virginia Tech,,311;204,PITCH
PITCH (232),3521625,14990,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,4 Darby Trull,L-Hand,,RIGHTM,,Strike Called,0--2,0--1,,,,,1 Out,,7. Inning,East Tennesse State,Virginia Tech,,419;231,PITCH
PITCH (233),3536632,14987,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,4 Darby Trull,L-Hand,,RIGHTM,,Ball,2--2,1--2,,,,,1 Out,,7. Inning,East Tennesse State,Virginia Tech,,447;235,PITCH
PITCH (234),3551636,19993,Bases Empty,02-17-2019,3 Taylor Boling,R-Hand,4 Darby Trull,L-Hand,,MR,,Ball in Play,,1--2,SLCF,Single,,,1 Out,,7. Inning,East Tennesse State,Virginia Tech,143;178,400;272,PITCH
PITCH (235),3571645,14997,R1,02-17-2019,3 Taylor Boling,R-Hand,16 Meredith Slaw,L-Hand,,DOWNM,,Ball,1--0,0--0,,,,,1 Out,,7. Inning,East Tennesse State,Virginia Tech,,464;418,PITCH
PITCH (236),3586659,15431,R1,02-17-2019,3 Taylor Boling,R-Hand,16 Meredith Slaw,L-Hand,,MR,,Ball in Play,,1--0,1B3,Fielders Choice,,,1 Out,,7. Inning,East Tennesse State,Virginia Tech,313;255,392;271,PITCH
PITCH (237),3602106,14989,R2,02-17-2019,3 Taylor Boling,R-Hand,13 Caitlyn Nolan,R-Hand,,LEFTM,,Ball,1--0,0--0,,,,,2 Out,,7. Inning,East Tennesse State,Virginia Tech,,83;385,PITCH
PITCH (238),3617112,14996,R2,02-17-2019,3 Taylor Boling,R-Hand,13 Caitlyn Nolan,R-Hand,,DOWNM,,Ball,2--0,1--0,,,,,2 Out,,7. Inning,East Tennesse State,Virginia Tech,,355;428,PITCH
PITCH (239),3632125,14993,R2,02-17-2019,3 Taylor Boling,R-Hand,13 Caitlyn Nolan,R-Hand,,UPL,,Foul,2--1,2--0,,,,,2 Out,,7. Inning,East Tennesse State,Virginia Tech,,145;172,PITCH
PITCH (240),3647135,14992,R2,02-17-2019,3 Taylor Boling,R-Hand,13 Caitlyn Nolan,R-Hand,,LEFTM,,Ball,3--1,2--1,,,,,2 Out,,7. Inning,East Tennesse State,Virginia Tech,,66;288,PITCH
PITCH (241),3662143,14998,R2,02-17-2019,3 Taylor Boling,R-Hand,13 Caitlyn Nolan,R-Hand,,RIGHTM,,Ball,Walk,3--1,,,,,2 Out,,7. Inning,East Tennesse State,Virginia Tech,,445;354,PITCH
PITCH (242),3677157,14990,R12,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,UPL,,Strike Called,0--1,0--0,,,,,2 Out,,7. Inning,East Tennesse State,Virginia Tech,,106;184,PITCH
PITCH (243),3692164,21281,R12,02-17-2019,3 Taylor Boling,R-Hand,14 Emma Strouth,R-Hand,,MR,,Ball in Play,,0--1,SLF,Line Out,,,2 Out,,7. Inning,East Tennesse State,Virginia Tech,109;176,337;222,PITCH
PITCH (244),3713462,14823,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,13 Demi Coleman,R-Hand,,ML,,Ball in Play,,0--0,SS3,Ground Out,,,0 Out,,7. Inning,Virginia Tech,East Tennesse State,200;213,163;267,PITCH
PITCH (245),3728302,15092,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,25 Kelly Warren,L-Hand,,DOWNM,,Ball,1--0,0--0,,,,,1 Out,,7. Inning,Virginia Tech,East Tennesse State,,292;429,PITCH
PITCH (246),3743410,15654,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,25 Kelly Warren,L-Hand,,ML,,Ball in Play,,1--0,2B3,Ground Out,,,1 Out,,7. Inning,Virginia Tech,East Tennesse State,302;230,175;257,PITCH
PITCH (247),3759081,14628,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,4 Lauren Lee,R-Hand,,DOWNM,,Ball,1--0,0--0,,,,,2 Out,,7. Inning,Virginia Tech,East Tennesse State,,261;431,PITCH
PITCH (248),3773726,14984,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,4 Lauren Lee,R-Hand,,ML,,Strike Called,1--1,1--0,,,,,2 Out,,7. Inning,Virginia Tech,East Tennesse State,,154;245,PITCH
PITCH (249),3788726,17070,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,4 Lauren Lee,R-Hand,,ML,,Strike Swinging,1--2,1--1,,,,,2 Out,,7. Inning,Virginia Tech,East Tennesse State,,110;239,PITCH
PITCH (250),3805812,14544,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,4 Lauren Lee,R-Hand,,DOWNM,,Ball,2--2,1--2,,,,,2 Out,,7. Inning,Virginia Tech,East Tennesse State,,258;436,PITCH
PITCH (251),3820372,20609,Bases Empty,02-17-2019,25 Carrie Eberle,R-Hand,4 Lauren Lee,R-Hand,,MR,,Ball in Play,,2--2,PF,Ground Out,,,2 Out,,7. Inning,Virginia Tech,East Tennesse State,262;265,348;281,PITCH
